TeamID,Season,Wins,Losses,PtsPG,FG%,FG3%,FT%,AstPG,BlkPG,ORPG,DRPG,RebPG,PFPG,StlPG,TOPG,opPtsPG,opFG%,opFG3%,opFT%,opAstPG,opBlkPG,opORPG,opDRPG,opRebPG,opPFPG,opStlPG,opTOPG,NumOT
1101,2014,2.0,19.0,63.142857142857146,0.40550807217473883,0.37333333333333335,0.7460674157303371,10.0,1.4761904761904763,8.0,20.333333333333332,28.333333333333332,21.571428571428573,5.761904761904762,15.0,78.61904761904762,0.5080213903743316,0.37058823529411766,0.7103321033210332,15.571428571428571,5.0,10.380952380952381,24.095238095238095,32.095238095238095,18.666666666666668,7.0,12.142857142857142,3.0
1101,2015,7.0,21.0,61.0,0.4048582995951417,0.3780260707635009,0.7279236276849642,11.857142857142858,1.1785714285714286,8.25,19.642857142857142,27.892857142857142,20.607142857142858,5.928571428571429,12.821428571428571,71.85714285714286,0.4922752808988764,0.3696581196581197,0.6871069182389937,12.928571428571429,4.25,10.035714285714286,25.892857142857142,34.142857142857146,16.535714285714285,5.857142857142857,13.464285714285714,0.0
1101,2016,9.0,18.0,69.85185185185185,0.4416208791208791,0.36345776031434185,0.706984667802385,12.88888888888889,2.4444444444444446,8.185185185185185,22.51851851851852,30.703703703703702,22.37037037037037,6.7407407407407405,13.407407407407407,76.25925925925925,0.49344375431331955,0.3691931540342298,0.7091988130563798,12.851851851851851,3.2962962962962963,8.592592592592593,25.22222222222222,33.407407407407405,19.666666666666668,5.111111111111111,13.444444444444445,2.0
1101,2017,9.0,16.0,67.88,0.45836459114778694,0.3710691823899371,0.6422413793103449,13.6,2.76,7.56,22.88,30.44,22.16,7.0,14.48,72.64,0.46274217585692995,0.36122448979591837,0.6672268907563025,13.6,3.16,10.64,25.04,32.6,17.24,6.04,14.8,4.0
1101,2018,12.0,15.0,70.66666666666667,0.4518032786885246,0.3246753246753247,0.7043650793650794,13.88888888888889,3.6296296296296298,9.037037037037036,23.22222222222222,32.25925925925926,21.037037037037038,7.148148148148148,14.407407407407407,72.81481481481481,0.456343792633015,0.33583489681050654,0.7093206951026856,12.037037037037036,2.925925925925926,9.925925925925926,25.037037037037038,34.074074074074076,17.666666666666668,6.518518518518518,15.481481481481481,1.0
1102,2003,12.0,16.0,57.25,0.48114901256732495,0.37564322469982847,0.651356993736952,13.0,1.7857142857142858,4.178571428571429,16.821428571428573,21.0,18.75,5.964285714285714,11.428571428571429,57.0,0.45454545454545453,0.382183908045977,0.7105751391465677,9.142857142857142,1.5714285714285714,9.607142857142858,20.142857142857142,24.321428571428573,18.357142857142858,5.428571428571429,12.964285714285714,0.0
1102,2004,22.0,6.0,60.17857142857143,0.4825828377230246,0.38102893890675243,0.7090909090909091,13.25,2.357142857142857,6.142857142857143,15.357142857142858,21.5,16.642857142857142,7.785714285714286,10.785714285714286,50.42857142857143,0.4495575221238938,0.2870967741935484,0.7156177156177156,8.321428571428571,1.75,9.285714285714286,18.535714285714285,24.678571428571427,18.107142857142858,4.464285714285714,16.428571428571427,0.0
1102,2005,17.0,12.0,61.241379310344826,0.4486994219653179,0.3644067796610169,0.7282321899736148,13.655172413793103,1.7241379310344827,7.620689655172414,15.413793103448276,23.03448275862069,16.482758620689655,8.793103448275861,10.068965517241379,55.13793103448276,0.4797588285960379,0.34055727554179566,0.7129277566539924,8.89655172413793,2.206896551724138,8.620689655172415,20.79310344827586,28.413793103448278,16.310344827586206,4.689655172413793,16.482758620689655,2.0
1102,2006,22.0,6.0,63.5,0.48119122257053293,0.3970345963756178,0.7463768115942029,14.178571428571429,2.107142857142857,6.785714285714286,17.785714285714285,24.571428571428573,15.392857142857142,8.0,10.928571428571429,54.57142857142857,0.4318004676539361,0.3269689737470167,0.729381443298969,10.142857142857142,2.607142857142857,10.214285714285714,19.035714285714285,25.821428571428573,15.857142857142858,4.142857142857143,14.964285714285714,0.0
1102,2007,22.0,8.0,68.5,0.48579545454545453,0.4035608308605341,0.76007326007326,15.033333333333333,1.4666666666666666,6.466666666666667,20.866666666666667,27.333333333333332,15.166666666666666,6.266666666666667,10.166666666666666,56.9,0.43376801647220314,0.31589147286821706,0.6763285024154589,11.666666666666666,3.066666666666667,9.166666666666666,20.3,26.766666666666666,18.866666666666667,4.533333333333333,14.033333333333333,0.0
